"sample.name" "meanod" "stdev" "cv" "netod" "bound" "pg.per.tube" "ng.per.gram.pool" "file.name" "hormone"
"30" "C02" 0.2525 0.00296984848098349 1.17617761623108 0.219725 20.7004569221348 44.2290307714776 22.1145153857388 "E1G Woolly 20181205 - Plate 2 (reruns 213-297)" "E1G"
"31" "C01" 0.98005 0.0327390439689372 3.34054833620093 0.94515 86.7926260933447 3.9978566222455 0.999464155561375 "E1G Woolly 20181208 - Plate 1 (reruns 1.100)" "E1G"
"32" "C02" 0.18085 0.00431335136523794 2.38504360809396 0.14595 13.4025115360775 74.5915632425421 18.6478908106355 "E1G Woolly 20181208 - Plate 1 (reruns 1.100)" "E1G"
"33" "C01" 0.87595 0.0109601551083914 1.25123067622483 0.84375 77.779314159292 6.11747150734514 1.52936787683628 "E1G Woolly 20181208 - Plate 2 (reruns 1.10)" "E1G"
"34" "C02" 0.16215 0.000777817459305195 0.47969007666062 0.12995 11.9791666666667 77.6977444030125 19.4244361007531 "E1G Woolly 20181208 - Plate 2 (reruns 1.10)" "E1G"
"35" "C01" 1.13215 0.00586898628384833 0.51839299420115 1.09945 82.603305785124 7.33824871447303 1.83456217861826 "E1G Woolly 20181209 - Plate 2 (reruns 1.20)" "E1G"
"36" "C02" 0.22605 0.0111015764646288 4.91111544553363 0.19335 14.526671675432 67.9657255991938 16.9914313997985 "E1G Woolly 20181209 - Plate 2 (reruns 1.20)" "E1G"
"37" "C01" 0.8238 0.176352431227925 21.407190000962 0.5501 98.1707861158205 2.74472162024919 0.686180405062297 "E1G Woolly 20181209 - Plate 1 (reruns 1.10)" "E1G"
"38" "C02" 0.31295 0.155634202539159 49.7313316948903 0.03925 7.00455072722405 91.8781712632979 22.9695428158245 "E1G Woolly 20181209 - Plate 1 (reruns 1.10)" "E1G"
"39" "C01" 0.75965 0.00572756492761111 0.75397418911487 0.724425 68.096256433154 8.72836746911561 2.1820918672789 "E1G Woolly 20181209 - Plate 3 (reruns 1.20)" "E1G"
"40" "C02" 0.16845 0.00233345237791562 1.3852492596709 0.133225 12.5232063544286 70.9633378209881 17.740834455247 "E1G Woolly 20181209 - Plate 3 (reruns 1.20)" "E1G"
"41" "C01" 0.8703 0.0362038671967513 4.15992958712528 0.8384 73.0138686290305 6.11038903450166 1.52759725862541 "E1G Woolly 20181209 - Plate 4 (reruns 1.20)" "E1G"
"42" "C02" 0.18405 0.00799030662740797 4.34137822733386 0.15215 13.2503102479807 75.1118843893594 18.7779710973398 "E1G Woolly 20181209 - Plate 4 (reruns 1.20)" "E1G"
"43" "C01" 0.84285 0.0180312229202572 2.1393157644014 0.81005 71.0196387866035 6.45685150729646 1.61421287682411 "E1G Woolly 20181209 - Plate 5 (reruns 1.20)" "E1G"
"44" "C02" 0.17415 0.000353553390593274 0.203016589487955 0.14135 12.3926003857619 72.5413587929635 18.1353396982409 "E1G Woolly 20181209 - Plate 5 (reruns 1.20)" "E1G"
"45" "C01" 0.84625 0.00346482322781402 0.409432582311848 0.814425 75.778087927425 5.39829611507913 1.34957402876978 "E1G Woolly 20181209 - Plate 6 (reruns 1.20)" "E1G"
"46" "C02" 0.1774 0.0026870057685089 1.51465939600276 0.145575 13.5450104675506 105.62271440272 26.4056786006799 "E1G Woolly 20181209 - Plate 6 (reruns 1.20)" "E1G"
