Number	WNPRC Number	TBS sample number	Date Sample is Collected	Time of Collection	Individual	Dry weight poop only	Dry weight without seeds	Assay date	Volume of sample used (uL)		
30	WNPRC-2018-257	SP218	02/12/2017	9:35	Cali	0.13	0.08	11/15/18	10		
31	WNPRC-2018-263	LA070	05/12/2017	15:08	Cali	0.13	0.10	11/15/18	10		
32	WNPRC-2018-270	SP224	08/12/2017	11:16	Cali	0.08	0.06	11/15/18	10		
33	WNPRC-2018-280	SP232	14/12/2017	10:37	Cali	0.14	0.14	11/15/18	10		
34	WNPRC-2018-287	SP241	18/12/2017	8:49	Cali	0.11	0.09	11/15/18	10		
1	WNPRC-2018-298	LA081	23/12/2017	11:08	Cali	0.07	0.06	11/15/18	10		
2	WNPRC-2018-314	LA097	29/12/2017	15:03	Cali	0.12	0.12	11/15/18	10		
3	WNPRC-2018-317	LA098	30/12/2017	12:03	Cali	0.11	0.10	11/15/18	10		
4	WNPRC-2018-330	LA114	03/01/2018	16:34	Cali	0.15	0.08	11/15/18	10		
5	WNPRC-2018-332	LA115	04/01/2018	7:15	Cali	0.10	0.10	11/15/18	10		
6	WNPRC-2018-347	LA134	09/01/2018	17:25	Cali???	0.13	0.10	11/15/18	10		
7	WNPRC-2018-354	LA140	13/01/2018	13:21	Cali	0.09	0.09	11/15/18	10		
8	WNPRC-2018-362	LA143	18/01/2018	8:08	Cali	0.09	0.08	11/15/18	10		
9	WNPRC-2018-389	KNM025	03/02/2018	11:40	Cali?	0.14	0.13	11/15/18	10		
10	WNPRC-2018-408	LA169	05/02/2018	12:35	Cali	0.12	0.09	11/15/18	10		
11	WNPRC-2018-415	LA172	09/02/2018	7:23	Cali	0.09	0.08	11/15/18	10		
12	WNPRC-2018-441	KNM060	15/02/2018	8:59	Cali?	0.10	0.08	11/15/18	10		
13	WNPRC-2018-011	LA015	26/08/2017	13:03	Chai	0.10	0.10	11/15/18	10		
14	WNPRC-2018-018	SP010	30/08/2017	11:43	Chai	0.12	0.10	11/15/18	10		
15	WNPRC-2018-022	SP001	03/09/2017	14:57	Chai	0.14	0.13	11/15/18	10		
16	WNPRC-2018-034	SP020	04/09/2017	8:33	Chai	0.15	0.14	11/15/18	10		
17	WNPRC-2018-048	SP023	10/09/2017	15:07	Chai	0.13	0.13	11/15/18	10		
18	WNPRC-2018-061	SP061	13/09/2017	16:09	Chai	0.18	0.14	11/15/18	10		
19	WNPRC-2018-063	SP050	14/09/2017	10:17	Chai	0.09	0.09	11/15/18	10		
20	WNPRC-2018-067	SP048	15/09/2017	10:32	Chai?	0.12	0.07	11/15/18	10		
21	WNPRC-2018-073	SP049	18/09/2017	13:12	Chai	0.01	0.09	11/15/18	10		
22	WNPRC-2018-088	SP080	20/09/2017	10:49	Chai	0.15	0.13	11/15/18	10		
23	WNPRC-2018-095	SP089	24/09/2017	13:35	Chai	0.13	0.08	11/15/18	10		
24	WNPRC-2018-099	SP087	25/09/2017	15:35	Chai	0.11	0.10	11/15/18	10		
25	WNPRC-2018-106	SP097	26/09/2017	15:44	Chai	0.11	0.08	11/15/18	10		
26	WNPRC-2018-109	SP093	29/09/2017	10:45	Chai	0.15	0.11	11/15/18	10		
27	WNPRC-2018-116	SP106	30/09/2017	13:06	Chai	0.13	0.10	11/15/18	10		
28	WNPRC-2018-125	SP114	06/10/2017	16:03	Chai	0.10	0.08	11/15/18	10		
29	WNPRC-2018-129	SP120	07/10/2017	13:00	Chai	0.11	0.08	11/15/18	10		
30	WNPRC-2018-133	SP126	08/10/2017	17:28	Chai?	0.12	0.09	11/15/18	10		
31	WNPRC-2018-143	SP148	12/10/2017	11:38	Chai	0.13	0.11	11/15/18	10		
32	WNPRC-2018-146	SP144	13/10/2017	8:03	Chai	0.15	0.13	11/15/18	10		
33	WNPRC-2018-153	SP140	17/10/2017	14:09	Chai	0.18	0.17	11/15/18	10		
34	WNPRC-2018-162	SP149	20/10/2017	9:58	Chai	0.15	0.11	11/15/18	10		
1	WNPRC-2018-166	SP154	22/10/2017	15:55	Chai	0.10	0.09	11/15/18	10		
2	WNPRC-2018-176	LA040	26/10/2017	9:42	Chai	0.19	0.18	11/15/18	10		
3	WNPRC-2018-187	LA045	31/10/2017	10:58	Chai	0.19	0.15	11/15/18	10		
4	WNPRC-2018-191	SP129	02/11/2017	12:36	Chai	0.18	0.15	11/15/18	10		
5	WNPRC-2018-199	SP163	05/11/2017	16:12	Chai	0.21	0.08	11/15/18	10		
6	WNPRC-2018-202	SP164	06/11/2017	11:42	Chai	0.22	0.12	11/15/18	10		
7	WNPRC-2018-204	SP172	07/11/2017	9:57	Chai	0.13	0.09	11/15/18	10		
8	WNPRC-2018-211	LA063	09/11/2017	11:36	Chai	0.21	0.17	11/15/18	10		
9	WNPRC-2018-220	SP177	14/11/2017	9:26	Chai	0.16	0.07	11/15/18	10		
10	WNPRC-2018-234	SP202	21/11/2017	9:09	Chai	0.15	0.13	11/15/18	10		
11	WNPRC-2018-238	SP193	26/11/2017	15:45	Chai	0.11	0.09	11/15/18	10		
12	WNPRC-2018-242	LA058	28/11/2017	9:40	Chai	0.17	0.11	11/15/18	10		
13	WNPRC-2018-245	SP191	30/11/2017	13:54	Chai	0.18	0.12	11/15/18	10		
14	WNPRC-2018-254	SP214	02/12/2017	11:15	Chai	0.11	0.06	11/15/18	10		
15	WNPRC-2018-262	LA069	05/12/2017	11:47	Chai	0.11	0.08	11/15/18	10		
16	WNPRC-2018-272	SP228	08/12/2017	10:03	Chai	0.15	0.10	11/15/18	10		
17	WNPRC-2018-275	LA072	13/12/2017	13:30	Chai?	0.07	0.04	11/15/18	10		
18	WNPRC-2018-288	SP246	18/12/2017	14:52	Chai	0.07	0.07	11/15/18	10		
19	WNPRC-2018-299	LA082	23/12/2017	16:12	Chai	0.08	0.08	11/15/18	10		
20	WNPRC-2018-305	LA084	25/12/2017	7:17	Chai	0.13	0.12	11/15/18	10		
21	WNPRC-2018-310	LA093	29/12/2017	14:53	Chai	0.08	0.08	11/15/18	10		
22	WNPRC-2018-315	LA089	30/12/2017	10:02	Chai	0.10	0.09	11/15/18	10		
23	WNPRC-2018-325	LA107	03/01/2018	7:48	Chai	0.10	0.08	11/15/18	10		
24	WNPRC-2018-333	LA116	04/01/2018	9:05	Chai	0.19	0.18	11/15/18	10		
25	WNPRC-2018-351	LA117	13/01/2018	7:04	Chai	0.11	0.09	11/15/18	10		
26	WNPRC-2018-361	LA142	18/01/2018	13:17	Chai	0.11	0.09	11/15/18	10		
27	WNPRC-2018-363	LA146	18/01/2018	10:17	Chai?	0.08	0.08	11/15/18	10		
28	WNPRC-2018-379	KNM013	26/01/2018	12:25	Chai	0.11	0.09	11/15/18	10		
