Number	WNPRC Number	TBS sample number	Date Sample is Collected	Time of Collection	Individual	Dry weight poop only	Dry weight without seeds	Assay date	Volume of sample used (uL)		
3	WNPRC-2018-047	SP015	10/09/2017	7:49	Policarpa	0.23	0.20	11/16/18	10		
4	WNPRC-2018-081	SP068	19/09/2017	12:06	Policarpa	0.13	0.09	11/16/18	10		
5	WNPRC-2018-117	SP100	01/10/2017	10:14	Policarpa	0.09	0.05	11/16/18	10		
6	WNPRC-2018-124	LA026	05/10/2017	16:30	Policarpa	0.19	0.12	11/16/18	10		
7	WNPRC-2018-136	SP125	12/10/2017	14:00	Policarpa	0.13	0.06	11/16/18	10		
8	WNPRC-2018-144	SP141	13/10/2017	6:11	Policarpa	0.17	0.05	11/16/18	10		
9	WNPRC-2018-159	SP152	19/10/2017	10:22	Policarpa	0.17	0.11	11/16/18	10		
10	WNPRC-2018-169	LA032	24/10/2017	6:45	Policarpa	0.13	0.11	11/16/18	10		
11	WNPRC-2018-179	LA043	28/10/2017	10:35	Policarpa	0.18	0.13	11/16/18	10		
12	WNPRC-2018-188	LA052	01/11/2017	8:18	Policarpa	0.22	0.17	11/16/18	10		
13	WNPRC-2018-197	SP161	05/11/2017	11:03	Policarpa	0.27	0.16	11/16/18	10		
14	WNPRC-2018-208	SP165	08/11/2017	10:33	Policarpa	0.18	0.10	11/16/18	10		
15	WNPRC-2018-218	LA067	13/11/2017	13:08	Policarpa	0.18	0.06	11/16/18	10		
16	WNPRC-2018-223	SP190	14/11/2017	11:38	Policarpa	0.19	0.07	11/16/18	10		
17	WNPRC-2018-227	SP185	19/11/2017	11:25	Policarpa	0.12	0.07	11/16/18	10		
18	WNPRC-2018-236	SP170	24/11/2017	11:45	Policarpa	0.16	0.14	11/16/18	10		
19	WNPRC-2018-247	SP205	30/11/2017	14:37	Policarpa	0.17	0.15	11/16/18	10		
20	WNPRC-2018-260	SP213	05/12/2017	9:51	Policarpa	0.12	0.11	11/16/18	10		
21	WNPRC-2018-271	SP227	08/12/2017	7:51	Policarpa	0.17	0.09	11/16/18	10		
22	WNPRC-2018-292	SP240	20/12/2017	9:25	Policarpa	0.12	0.12	11/16/18	10		
23	WNPRC-2018-296	LA076	23/12/2017	13:57	Policarpa	0.11	0.10	11/16/18	10		
24	WNPRC-2018-307	LA088	29/12/2017	9:53	Policarpa	0.16	0.14	11/16/18	10		
25	WNPRC-2018-321	LA102	02/01/2018	16:34	Policarpa	0.13	0.08	11/16/18	10		
26	WNPRC-2018-331	LA101	04/01/2018	10:57	Policarpa	0.14	0.08	11/16/18	10		
27	WNPRC-2018-344	LA128	09/01/2018	17:16	Policarpa	0.13	0.11	11/16/18	10		
28	WNPRC-2018-365	LA149	19/01/2018	13:12	Policarpa?	0.08	0.05	11/16/18	10		
29	WNPRC-2018-370	KNM005	23/01/2018	15:03	Policarpa	0.11	0.09	11/16/18	10		
30	WNPRC-2018-371	KNM008	23/01/2018	13:55	Policarpa	0.13	0.09	11/16/18	10		
31	WNPRC-2018-372	KNM002	24/01/2018	6:47	Policarpa	0.11	0.06	11/16/18	10		
32	WNPRC-2018-382	KNM015	29/01/2018	14:25	Policarpa?	0.07	0.04	11/16/18	10		
33	WNPRC-2018-385	KNM020	30/01/2018	8:56	Policarpa	0.17	0.12	11/16/18	10		
34	WNPRC-2018-402	LA162	05/02/2018	8:00	Policacrpa	0.21	0.18	11/16/18	10		
1	WNPRC-2018-424	KNM031	10/02/2018	11:55	Policarpa	0.06	0.06	11/17/18	10		
2	WNPRC-2018-442	KNM048	18/02/2018	7:57	Policarpa	0.10	0.07	11/17/18	10		
3	WNPRC-2018-452	KNM067	19/02/2018	7:58	Policarpa	0.03	0.03	11/17/18	10		
4	WNPRC-2018-455	KNM068	20/02/2018	11:10	Policarpa	0.11	0.07	11/17/18	10		
5	WNPRC-2018-458	KNM079	23/02/2018	13:32	Policarpa	0.12	0.10	11/17/18	10		
6	WNPRC-2018-009	LA011	25/08/2017	12:13	Cuenca	0.10	0.10	11/17/18	10		
7	WNPRC-2018-012	LA018	26/08/2017	14:16	Cuenca	0.07	0.06	11/17/18	10		
8	WNPRC-2018-014	SP007	29/08/2017	11:40	Cuenca	0.11	0.10	11/17/18	10		
9	WNPRC-2018-017	LA016	30/08/2017	11:35	Cuenca	0.12	0.09	11/17/18	10		
10	WNPRC-2018-023	SP002	03/09/2017	9:13	Cuenca	0.11	0.10	11/17/18	10		
11	WNPRC-2018-030	SP005	04/09/2017	12:38	Cuenca	0.08	0.07	11/17/18	10		
12	WNPRC-2018-056	SP021	13/09/2017	15:30	Cuenca	0.13	0.10	11/17/18	10		
13	WNPRC-2018-066	SP046	15/09/2017	15:01	Cuenca	0.13	0.12	11/17/18	10		
14	WNPRC-2018-078	SP063	18/09/2017	14:09	Cuenca	0.15	0.14	11/17/18	10		
15	WNPRC-2018-079	SP034	19/09/2017	10:58	Cuenca	0.10	0.10	11/17/18	10		
16	WNPRC-2018-086	SP076	20/09/2017	8:13	Cuenca	0.11	0.11	11/17/18	10		
17	WNPRC-2018-094	SP085	24/09/2017	15:39	Cuenca	0.10	0.09	11/17/18	10		
18	WNPRC-2018-100	SP091	25/09/2017	8:30	Cuenca	0.10	0.09	11/17/18	10		
19	WNPRC-2018-111	SP104	29/09/2017	13:25	Cuenca	0.07	0.06	11/17/18	10		
20	WNPRC-2018-114	SP088	30/09/2017	15:25	Cuenca	0.15	0.12	11/17/18	10		
21	WNPRC-2018-002	LA002	23/08/2017	13:05	Der	0.12	0.10	11/17/18	10		
22	WNPRC-2018-010	LA014	26/08/2017	7:05	Der	0.16	0.15	11/17/18	10		
23	WNPRC-2018-016	LA009	30/08/2017	9:14	Der	0.19	0.11	11/17/18	10		
24	WNPRC-2018-025	SP008	03/09/2017	13:00	Der	0.11	0.11	11/17/18	10		
25	WNPRC-2018-052	SP035	10/09/2017	16:24	Der	0.11	0.09	11/17/18	10		
26	WNPRC-2018-057	SP045	13/09/2017	11:44	Der	0.16	0.07	11/17/18	10		
27	WNPRC-2018-075	SP054	18/09/2017	10:12	Der	0.11	0.10	11/17/18	10		
28	WNPRC-2018-090	SP071	21/09/2017	10:15	Der	0.11	0.04	11/17/18	10		
29	WNPRC-2018-091	SP073	21/09/2017	9:50	Der?	0.28	0.10	11/17/18	10		
30	WNPRC-2018-093	SP081	24/09/2017	7:52	Der	0.13	0.13	11/17/18	10		
31	WNPRC-2018-103	SP078	26/09/2017	9:55	Der	0.20	0.07	11/17/18	10		
32	WNPRC-2018-110	SP102	29/09/2017	10:50	Der?	0.24	0.07	11/17/18	10		
33	WNPRC-2018-127	SP123	06/10/2017	10:59	Der	0.17	0.12	11/17/18	10		
34	WNPRC-2018-138	SP130	12/10/2017	14:12	Der	0.16	0.07	11/17/18	10		
1	WNPRC-2018-150	SP143	14/10/2017		Der	0.16	0.10	11/17/18	10		
2	WNPRC-2018-156	SP138	19/10/2017	9:48	Der	0.14	0.05	11/17/18	10		
3	WNPRC-2018-173	LA037	25/10/2017	7:26	Der	0.09	0.07	11/17/18	10		
4	WNPRC-2018-174	LA038	25/10/2017	9:32	Der	0.14	0.14	11/17/18	10		
5	WNPRC-2018-182	LA049	29/10/2017	9:47	Der	0.29	0.17	11/17/18	10		
6	WNPRC-2018-192	LA056	02/11/2017	11:08	Der	0.21	0.09	11/17/18	10		
7	WNPRC-2018-207	SP181	07/11/2017	10:30	Der	0.15	0.08	11/17/18	10		
8	WNPRC-2018-215	LA064	12/11/2017	11:45	Der?	0.12	0.09	11/17/18	10		
9	WNPRC-2018-216	LA065	13/11/2017	7:58	Der	0.15	0.14	11/17/18	10		
10	WNPRC-2018-226	SP196	18/11/2017	14:38	Der	0.12	0.08	11/17/18	10		
11	WNPRC-2018-235	SP187	23/11/2017	14:44	Der	0.18	0.11	11/17/18	10		
12	WNPRC-2018-248	SP210	30/11/2017	8:35	Der	0.19	0.07	11/17/18	10		
13	WNPRC-2018-255	SP216	02/12/2017	8:27	Der	0.14	0.06	11/17/18	10		
14	WNPRC-2018-265	LA071	06/12/2017	11:11	Der	0.12	0.06	11/17/18	10		
15	WNPRC-2018-276	SP226	13/12/2017	9:45	Der	0.07	0.05	11/17/18	10		
16	WNPRC-2018-279	SP230	14/12/2017	14:21	Der	0.09	0.08	11/17/18	10		
17	WNPRC-2018-290	SP231	19/12/2017	8:12	Der	0.15	0.09	11/17/18	10		
18	WNPRC-2018-303	LA086	24/12/2017	10:12	Der	0.13	0.09	11/17/18	10		
19	WNPRC-2018-304	LA087	24/12/2017	12:07	Der	0.10	0.08	11/17/18	10		
20	WNPRC-2018-319	LA100	31/12/2017	12:26	Der	0.18	0.09	11/17/18	10		
21	WNPRC-2018-327	LA109	03/01/2018	9:23	Der	0.15	0.06	11/17/18	10		
22	WNPRC-2018-328	LA111	03/01/2018	9:08	Der	0.22	0.11	11/17/18	10		
23	WNPRC-2018-338	LA121	07/01/2018	9:25	Der	0.12	0.12	11/17/18	10		
24	WNPRC-2018-343	LA118	09/01/2018	12:24	Der?	0.10	0.09	11/17/18	10		
25	WNPRC-2018-355	LA141	14/01/2018	9:19	Der	0.10	0.09	11/17/18	10		
26	WNPRC-2018-366	KNM004	19/01/2018	10:13	Der	0.14	0.12	11/17/18	10		
27	WNPRC-2018-380	KNM016	28/01/2018	15:57	Der?	0.07	0.06	11/17/18	10		
28	WNPRC-2018-381	KNM012	29/01/2018	7:35	Der	0.14	0.12	11/17/18	10		
29	WNPRC-2018-401	LA163	04/02/2018	12:43	Der	0.12	0.08	11/17/18	10		
30	WNPRC-2018-412	LA176	08/02/2018	8:53	Der?	0.14	0.12	11/17/18	10		
31	WNPRC-2018-423	LA175	10/02/2018	9:43	Der	0.15	0.15	11/17/18	10		
32	WNPRC-2018-435	KNM046	14/02/2018	11:33	Der	0.13	0.11	11/17/18	10		
33	WNPRC-2018-444	KNM052	18/02/2018	8:28	Der	0.10	0.07	11/17/18	10		
34	WNPRC-2018-454	KNM063	20/02/2018	10:08	Der	0.15	0.13	11/17/18	10		
1	WNPRC-2018-459	KNM070	24/02/2018	8:42	Der	0.08	0.07	11/17/18	10		
2	WNPRC-2018-005	LA005	24/08/2017	16:55	Gwen	0.10	0.10	11/17/18	10		
3	WNPRC-2018-008	LA010	25/08/2017	8:50	Gwen	0.12	0.12	11/17/18	10		
4	WNPRC-2018-021	SP004	31/08/2017	16:43	Gwen	0.08	0.08	11/17/18	10		
5	WNPRC-2018-027	SP012	03/09/2017	12:52	Gwen	0.10	0.10	11/17/18	10		
6	WNPRC-2018-033	SP018	04/09/2017	11:13	Gwen	0.13	0.12	11/17/18	10		
7	WNPRC-2018-055	SP043	10/09/2017	7:36	Gwen	0.06	0.05	11/17/18	10		
8	WNPRC-2018-064	SP060	14/09/2017	11:39	Gwen	0.23	0.16	11/17/18	10		
9	WNPRC-2018-068	SP051	15/09/2017	13:46	Gwen	0.18	0.13	11/17/18	10		
10	WNPRC-2018-076	SP055	18/09/2017	12:52	Gwen	0.15	0.12	11/17/18	10		
11	WNPRC-2018-084	SP075	19/09/2017	14:02	Gwen	0.12	0.11	11/17/18	10		
12	WNPRC-2018-098	SP086	25/09/2017	9:12	Gwen	0.06	0.06	11/17/18	10		
13	WNPRC-2018-112	SP107	29/09/2017	11:06	Gwen	0.08	0.06	11/17/18	10		
14	WNPRC-2018-113	SP084	30/09/2017	13:20	Gwen?	0.11	0.10	11/17/18	10		
15	WNPRC-2018-126	SP115	06/10/2017	16:17	Gwen	0.08	0.07	11/17/18	10		
16	WNPRC-2018-130	SP101	08/10/2017	11:05	Gwen	0.06	0.06	11/17/18	10		
17	WNPRC-2018-142	SP147	12/10/2017	13:10	Gwen	0.11	0.10	11/17/18	10		
18	WNPRC-2018-151	SP116	17/10/2017	8:25	Gwen	0.13	0.11	11/17/18	10		
19	WNPRC-2018-160	SP157	19/10/2017	14:20	Gwen	0.10	0.09	11/17/18	10		
20	WNPRC-2018-161	SP139	20/10/2017	12:03	Gwen	0.12	0.08	11/17/18	10		
21	WNPRC-2018-164	LA027	21/10/2017	7:26	Gwen	0.16	0.10	11/17/18	10		
22	WNPRC-2018-165	SP124	22/10/2017	13:22	Gwen	0.10	0.09	11/17/18	10		
23	WNPRC-2018-177	LA041	26/10/2017	11:15	Gwen	0.15	0.11	11/17/18	10		
24	WNPRC-2018-184	LA051	29/10/2017	15:20	Gwen?	0.10	0.08	11/17/18	10		
25	WNPRC-2018-185	SP155	31/10/2017	11:31	Gwen?	0.13	0.11	11/17/18	10		
26	WNPRC-2018-193	LA057	02/11/2017	12:27	Gwen	0.18	0.15	11/17/18	10		
27	WNPRC-2018-198	SP162	05/11/2017	15:04	Gwen	0.19	0.08	11/17/18	10		
28	WNPRC-2018-203	SP171	06/11/2017	12:22	Gwen	0.12	0.11	11/17/18	10		
29	WNPRC-2018-206	SP180	07/11/2017	11:36	Gwen	0.10	0.09	11/17/18	10		
30	WNPRC-2018-214	SP178	12/11/2017	7:55	Gwen	0.23	0.11	11/17/18	10		
31	WNPRC-2018-225	LA062	14/11/2017	6:48	Gwen	0.18	0.07	11/17/18	10		
32	WNPRC-2018-233	SP189	21/11/2017	12:17	Gwen	0.12	0.08	11/17/18	10		
33	WNPRC-2018-243	SP197	28/11/2017	11:42	Gwen	0.08	0.06	11/17/18	10		
34	WNPRC-2018-250	SP212	30/11/2017	16:48	Gwen	0.16	0.08	11/17/18	10		
1	WNPRC-2018-251	SP203	01/12/2017	12:34	Gwen	0.12	0.06	11/17/18	10		
2	WNPRC-2018-258	SP220	02/12/2017	11:16	Gwen	0.10	0.06	11/17/18	10		
3	WNPRC-2018-261	SP215	05/12/2017	10:08	Gwen	0.18	0.13	11/17/18	10		
4	WNPRC-2018-269	SP223	08/12/2017	8:45	Gwen?	0.13	0.10	11/17/18	10		
5	WNPRC-2018-274	SP219	13/12/2017	15:20	Gwen	0.11	0.08	11/17/18	10		
6	WNPRC-2018-282	SP234	14/12/2017	8:36	Gwen	0.11	0.09	11/17/18	10		
7	WNPRC-2018-289	SP247	18/12/2017	16:37	Gwen?	0.11	0.09	11/17/18	10		
8	WNPRC-2018-295	SP244	23/12/2017	10:38	Gwen	0.08	0.06	11/17/18	10		
9	WNPRC-2018-306	LA085	25/12/2017	9:31	Gwen	0.13	0.10	11/17/18	10		
10	WNPRC-2018-309	LA091	29/12/2017	16:55	Gwen?	0.14	0.13	11/17/18	10		
11	WNPRC-2018-316	LA092	30/12/2017	15:28	Gwen	0.10	0.08	11/17/18	10		
12	WNPRC-2018-326	LA108	03/01/2018	8:12	Gwen	0.04	0.04	11/17/18	10		
13	WNPRC-2018-335	LA120	04/01/2018	11:40	Gwen	0.07	0.06	11/17/18	10		
14	WNPRC-2018-349	LA129	11/01/2018	7:49	Gwen	0.13	0.11	11/17/18	10		
15	WNPRC-2018-350	LA132	12/01/2018	10:58	Gwen	0.10	0.08	11/17/18	10		
16	WNPRC-2018-352	LA122	13/01/2018	8:44	Gwen	0.08	0.06	11/17/18	10		
17	WNPRC-2018-364	LA148	18/01/2018	15:03	Gwen	0.12	0.10	11/17/18	10		
18	WNPRC-2018-367	LA150	20/01/2018	10:59	Gwen	0.10	0.09	11/17/18	10		
19	WNPRC-2018-373	KNM006	24/01/2018	16:45	Gwen	0.09	0.07	11/17/18	10		
20	WNPRC-2018-375	KNM009	25/01/2018	14:21	Gwen	0.17	0.13	11/17/18	10		
21	WNPRC-2018-377	KNM010	26/01/2018	9:16	Gwen	0.13	0.11	11/17/18	10		
22	WNPRC-2018-395	LA158	03/02/2018	13:39	Gwen	0.10	0.08	11/17/18	10		
23	WNPRC-2018-399	LA160	04/02/2018	8:23	Gwen	0.11	0.11	11/17/18	10		
24	WNPRC-2018-407	LA168	05/02/2018	8:13	Gwen	0.15	0.14	11/17/18	10		
25	WNPRC-2018-421	KNM034	09/02/2018	8:45	Gwen	0.10	0.10	11/17/18	10		
26	WNPRC-2018-432	KNM047	13/02/2018	13:00	Gwen	0.04	0.04	11/17/18	10		
27	WNPRC-2018-440	KNM059	15/02/2018	9:33	Gwen	0.10	0.08	11/17/18	10		
28	WNPRC-2018-445	KNM062	18/02/2018	17:22	Gwen	0.11	0.09	11/17/18	10		
29	WNPRC-2018-448	KNM051	19/02/2018	7:43	Gwen	0.10	0.09	11/17/18	10		
30	WNPRC-2018-456	KNM075	23/02/2018	9:58	Gwen	0.06	0.06	11/17/18	10		
31	WNPRC-2018-003	LA003	23/08/2017	15:30	Dexter	0.10	0.10	11/17/18	10		
32	WNPRC-2018-071	SP038	18/09/2017	8:58	Percy	0.09	0.07	11/17/18	10		
33	WNPRC-2018-429	KNM042	10/02/2018	14:10	Raoul	0.10	0.10	11/17/18	10		
34	WNPRC-2018-437	KNM055	15/02/2018	9:47	Finn	0.03	0.03	11/17/18	10		
1	WNPRC-2018-040-rerun1	SP025	08/09/2017	9:49	Poquer	0.11	0.11	12/5/18	5		
2	WNPRC-2018-043-rerun1	SP017	09/09/2017	12:45	Poquer	0.16	0.12	12/5/18	5		
3	WNPRC-2018-045-rerun1	SP033	09/09/2017	7:16	Pepa	0.14	0.11	12/5/18	5		
4	WNPRC-2018-060-rerun1	SP058	13/09/2017	10:16	Pepa	0.17	0.08	12/5/18	5		
5	WNPRC-2018-065-rerun1	SP042	15/09/2017	14:06	Pepa	0.11	0.05	12/5/18	5		
6	WNPRC-2018-075-rerun1	SP054	18/09/2017	10:12	Der	0.11	0.1	12/5/18	5		
7	WNPRC-2018-085-rerun1	SP069	20/09/2017	9:15	Pepa?	0.08	0.05	12/5/18	5		
8	WNPRC-2018-108-rerun1	SP083	29/09/2017	13:30	Cali	0.19	0.15	12/5/18	5		
9	WNPRC-2018-110-rerun1	SP102	29/09/2017	10:50	Der?	0.24	0.07	12/5/18	5		
10	WNPRC-2018-120-rerun1	SP112	30/09/2017	11:36	Poquer	0.13	0.07	12/5/18	5		
11	WNPRC-2018-122-rerun1	SP110	05/10/2017	6:56	Pepa?	0.26	0.13	12/5/18	5		
12	WNPRC-2018-123-rerun1	SP113	05/10/2017	8:24	Poquer?	0.15	0.11	12/5/18	5		
13	WNPRC-2018-127-rerun1	SP123	06/10/2017	10:59	Der	0.17	0.12	12/5/18	5		
14	WNPRC-2018-132-rerun1	SP121	08/10/2017	12:25	Pepa	0.16	0.15	12/5/18	5		
15	WNPRC-2018-137-rerun1	SP127	12/10/2017	9:08	Pepa?	0.11	0.08	12/5/18	5		
16	WNPRC-2018-140-rerun1	SP132	12/10/2017	9:35	Poquer	0.11	0.08	12/5/18	5		
17	WNPRC-2018-143-rerun1	SP148	12/10/2017	11:38	Chai	0.13	0.11	12/5/18	5		
18	WNPRC-2018-150-rerun1	SP143	14/10/2017	0:00	Der	0.16	0.1	12/5/18	5		
19	WNPRC-2018-163-rerun1	SP156	20/10/2017	8:26	Cali	0.14	0.09	12/5/18	5		
20	WNPRC-2018-170-rerun1	LA033	24/10/2017	9:45	Poquer	0.13	0.09	12/5/18	5		
21	WNPRC-2018-178-rerun1	LA042	28/10/2017	7:43	Poquer	0.18	0.12	12/5/18	5		
22	WNPRC-2018-179-rerun1	LA043	28/10/2017	10:35	Policarpa	0.18	0.13	12/5/18	5		
23	WNPRC-2018-181-rerun1	LA048	28/10/2017	13:01	Pepa	0.16	0.15	12/5/18	5		
24	WNPRC-2018-182-rerun1	LA049	29/10/2017	9:47	Der	0.29	0.17	12/5/18	5		
25	WNPRC-2018-189-rerun1	LA053	01/11/2017	10:01	Poquer	0.21	0.13	12/5/18	5		
26	WNPRC-2018-190-rerun1	LA054	01/11/2017	11:34	Pepa?	0.27	0.11	12/5/18	5		
27	WNPRC-2018-195-rerun1	SP159	05/11/2017	7:46	Pepa	0.25	0.19	12/5/18	5		
28	WNPRC-2018-196-rerun1	SP160	05/11/2017	8:08	Poquer	0.2	0.08	12/5/18	5		
29	WNPRC-2018-201-rerun1	SP169	05/11/2017	10:04	Poquer	0.18	0.15	12/5/18	5		
30	WNPRC-2018-202-rerun1	SP164	06/11/2017	11:42	Chai	0.22	0.12	12/5/18	5		
31	WNPRC-2018-204-rerun1	SP172	07/11/2017	9:57	Chai	0.13	0.09	12/5/18	5		
32	WNPRC-2018-205-rerun1	SP173	07/11/2017	13:02	Cali	0.14	0.1	12/5/18	5		
33	WNPRC-2018-208-rerun1	SP165	08/11/2017	10:33	Policarpa	0.18	0.1	12/5/18	5		
34	WNPRC-2018-211-rerun1	LA063	09/11/2017	11:36	Chai	0.21	0.17	12/5/18	5		
1	WNPRC-2018-213-rerun1	SP175	09/11/2017	7:45	Pepa	0.21	0.13	12/5/18	5		
2	WNPRC-2018-216-rerun1	LA065	13/11/2017	7:58	Der	0.15	0.14	12/5/18	5		
3	WNPRC-2018-217-rerun1	LA066	13/11/2017	7:00	Pepa?	0.16	0.07	12/5/18	5		
4	WNPRC-2018-218-rerun1	LA067	13/11/2017	13:08	Policarpa	0.18	0.06	12/5/18	5		
5	WNPRC-2018-219-rerun1	SP184	13/11/2017	8:10	Papaya	0.2	0.06	12/5/18	5		
6	WNPRC-2018-221-rerun1	SP179	14/11/2017	17:21	Poquer	0.15	0.09	12/5/18	5		
7	WNPRC-2018-222-rerun1	SP183	14/11/2017	6:46	Cali	0.19	0.09	12/5/18	5		
8	WNPRC-2018-223-rerun1	SP190	14/11/2017	11:38	Policarpa	0.19	0.07	12/5/18	5		
9	WNPRC-2018-224-rerun1	SP192	14/11/2017	7:10	Pepa	0.19	0.09	12/5/18	5		
10	WNPRC-2018-231-rerun1	SP199	20/11/2017	11:56	Cali	0.11	0.08	12/5/18	5		
11	WNPRC-2018-232-rerun1	LA061	21/11/2017	10:53	Cali	0.19	0.15	12/5/18	5		
12	WNPRC-2018-235-rerun1	SP187	23/11/2017	14:44	Der	0.18	0.11	12/5/18	5		
13	WNPRC-2018-237-rerun1	SP182	24/11/2017	12:40	Poquer	6.11	0.06	12/5/18	5		
14	WNPRC-2018-239-rerun1	SP201	26/11/2017	15:43	Cali	0.16	0.06	12/5/18	5		
15	WNPRC-2018-240-rerun1	SP206	26/11/2017	11:50	Pepa	0.1	0.09	12/5/18	5		
16	WNPRC-2018-244-rerun1	SP188	30/11/2017	15:08	Cali	0.12	0.1	12/5/18	5		
17	WNPRC-2018-246-rerun1	SP198	30/11/2017	9:13	Poquer	0.14	0.08	12/5/18	5		
18	WNPRC-2018-252-rerun1	SP208	01/12/2017	9:15	Pepa	0.11	0.06	12/5/18	5		
19	WNPRC-2018-256-rerun1	SP217	02/12/2017	11:51	Cali	0.11	0.06	12/5/18	5		
20	WNPRC-2018-257-rerun1	SP218	02/12/2017	9:35	Cali	0.13	0.08	12/5/18	5		
21	WNPRC-2018-260-rerun1	SP213	05/12/2017	9:51	Policarpa	0.12	0.11	12/5/18	5		
22	WNPRC-2018-263-rerun1	LA070	05/12/2017	15:08	Cali	0.13	0.1	12/5/18	5		
23	WNPRC-2018-265-rerun1	LA071	06/12/2017	11:11	Der	0.12	0.06	12/5/18	5		
24	WNPRC-2018-267-rerun1	LA075	07/12/2017	8:28	Poquer	0.16	0.12	12/5/18	5		
25	WNPRC-2018-273-rerun1	SP229	12/12/2017	14:40	Papaya	0.11	0.07	12/5/18	5		
26	WNPRC-2018-276-rerun1	SP226	13/12/2017	9:45	Der	0.07	0.05	12/5/18	5		
27	WNPRC-2018-280-rerun1	SP232	14/12/2017	10:37	Cali	0.14	0.14	12/5/18	5		
28	WNPRC-2018-281-rerun1	SP233	14/12/2017	10:27	Papaya	0.1	0.06	12/5/18	5		
29	WNPRC-2018-284-rerun1	SP245	14/12/2017	8:24	Pepa?	0.09	0.07	12/5/18	5		
30	WNPRC-2018-285-rerun1	SP248	15/12/2017	9:06	Pepa?	0.14	0.1	12/5/18	5		
31	WNPRC-2018-286-rerun1	SP238	17/12/2017	7:10	Papaya	0.09	0.09	12/5/18	5		
32	WNPRC-2018-287-rerun1	SP241	18/12/2017	8:49	Cali	0.11	0.09	12/5/18	5		
33	WNPRC-2018-293-rerun1	SP242	20/12/2017	17:16	Pepa	0.11	0.1	12/5/18	5		
34	WNPRC-2018-297-rerun1	LA078	23/12/2017	8:24	Pepa	0.07	0.06	12/5/18	5		
